日付,現地平均気圧(hPa),海面平均気圧(hpa),降水量合計,1時間最大降水量,10分間最大降水量,平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速,最大風速,最大風速時の風向,最大瞬間風速,最大瞬間風速時の風向,日照時間(h),降雪合計(cm),最深積雪値,天気概要昼,天気概要夜
2015-01-01,996.2,999.5,0.0,0.0,0.0,-4.0,-1.3,-6.4,64,51,1.9,4.2,南南東,6.7,南東,4.8,--,41,晴一時雪,晴一時曇後雪
2015-01-02,1001.4,1004.7,7.5,4.5,1.5,-5.5,-1.6,-9.2,65,39,2.3,7.2,西北西,12.8,西北西,6.3,13,51,晴一時雪,晴
2015-01-03,1004.0,1007.3,0.0,0.0,0.0,-5.0,-2.4,-9.4,52,38,3.0,7.7,西北西,13.1,西北西,7.0,--,46,晴,晴時々曇
2015-01-04,1007.8,1011.2,0.0,0.0,0.0,-2.7,0.2,-5.7,67,52,1.8,4.1,西,9.4,西北西,4.1,--,42,晴後一時曇,曇
2015-01-05,1012.6,1015.9,0.0,0.0,0.0,-2.4,1.4,-6.4,72,54,1.9,5.0,南東,7.5,南南東,5.8,--,40,曇一時雪後晴,曇後一時雪
2015-01-06,993.3,996.5,6.0,2.5,1.0,1.1,5.3,-5.3,75,44,5.1,11.4,南,18.2,南,0.0,--,38,雨一時雪,雪時々曇
2015-01-07,986.3,989.6,15.5,3.0,1.0,-3.4,0.9,-8.6,77,44,7.9,17.5,北西,29.8,北西,1.1,9,42,雪、大風を伴う,雪、大風を伴う
2015-01-08,998.2,1001.5,17.0,4.0,1.5,0.7,1.8,-0.2,81,62,9.5,15.2,北西,26.2,北北西,0.0,10,51,雪、あられを伴う,雪一時曇
2015-01-09,1002.5,1005.8,14.0,3.0,2.0,0.7,2.5,-1.4,77,59,6.2,10.0,北北西,16.9,北,1.0,8,57,雪、あられを伴う,雪
2015-01-10,1000.1,1003.4,4.0,1.0,1.0,-0.9,1.5,-2.5,65,39,4.1,7.7,西北西,16.1,西北西,4.6,6,63,曇時々雪,曇一時雪
2015-01-11,1002.1,1005.4,9.5,4.0,1.5,0.2,2.0,-1.3,70,47,5.2,9.2,北西,16.6,西北西,2.6,8,63,雪一時曇,雪後曇、あられを伴う
2015-01-12,1011.7,1015.0,4.5,1.5,1.0,1.0,2.2,-0.1,76,60,5.3,10.5,北西,17.2,北西,0.0,3,64,曇後雪,雪
2015-01-13,1020.5,1023.8,1.0,0.5,0.5,-0.1,2.3,-4.5,65,54,4.2,7.7,西北西,13.0,西北西,1.1,1,64,曇一時雪,晴
2015-01-14,1020.0,1023.4,--,--,--,-1.1,4.9,-5.9,65,39,1.7,5.9,北西,8.4,西北西,8.0,--,61,晴,曇後一時晴
2015-01-15,1014.0,1017.4,0.5,0.5,0.5,-0.4,2.9,-4.1,70,43,1.4,2.8,東,4.8,北西,6.0,2,60,曇時々晴,雪
2015-01-16,1009.3,1012.6,3.0,1.0,0.5,-1.3,0.7,-2.9,70,49,1.7,3.4,西,6.1,西,4.5,4,64,雪後曇時々晴,曇後雪
2015-01-17,998.4,1001.7,22.0,6.0,1.5,-3.9,0.0,-6.3,80,55,5.6,12.2,北北西,23.7,西北西,0.9,24,84,大雪、ふぶきを伴う,雪、ふぶきを伴う
2015-01-18,1008.9,1012.3,4.0,1.0,0.5,-4.9,-3.2,-7.4,70,50,5.4,11.3,北西,20.8,北西,1.6,2,82,雪一時曇、あられを伴う,曇一時雪
2015-01-19,1005.7,1009.1,0.5,0.5,0.5,-3.0,-0.8,-6.2,70,56,2.1,6.7,北西,10.7,西北西,3.9,--,78,曇後一時雪,曇時々雪一時晴
2015-01-20,1014.3,1017.7,18.0,5.0,1.5,-3.8,-1.2,-6.9,74,39,4.0,8.8,北西,15.7,西,0.1,20,91,雪時々曇、あられを伴う,雪時々曇後晴
2015-01-21,1022.8,1026.2,--,0.0,--,-2.2,1.7,-6.5,67,45,1.8,3.8,南南東,5.1,南南東,4.8,--,89,晴時々曇,曇
2015-01-22,1014.8,1018.2,1.5,0.5,0.5,0.1,2.9,-3.0,77,62,2.7,5.4,南南東,7.7,南南東,0.9,3,83,曇時々雪,雪、みぞれを伴う
2015-01-23,1004.0,1007.3,9.0,2.0,0.5,0.2,1.5,-0.7,87,76,5.7,10.0,北北西,17.7,北北西,0.0,10,89,雪,雪時々曇
2015-01-24,1015.8,1019.1,3.0,1.5,1.0,-0.6,1.0,-2.3,74,55,3.2,6.7,北西,10.9,北西,1.9,4,89,曇後時々雪,雪
2015-01-25,1024.5,1027.8,0.5,0.5,0.5,-1.1,1.6,-4.6,73,58,1.7,3.6,南,4.7,南東,5.0,--,89,晴時々曇一時雪,曇
2015-01-26,1019.2,1022.5,0.0,0.0,0.0,1.9,3.7,-1.8,77,67,4.6,8.7,南南東,13.1,南南東,3.5,--,82,曇時々晴一時雪,曇後雨、大風を伴う
2015-01-27,1004.6,1007.9,2.5,1.0,0.5,0.9,4.7,-4.9,71,44,6.3,15.9,南南東,24.2,南,0.1,--,77,雨後曇一時雪、大風を伴う,曇一時雪
2015-01-28,1011.0,1014.4,0.0,0.0,0.0,-4.9,-2.6,-7.1,51,33,3.0,7.2,北西,11.9,西,7.2,--,68,晴一時雪,晴後曇
2015-01-29,1020.2,1023.6,--,--,--,-2.9,-0.2,-5.5,53,33,2.2,4.7,南南東,8.4,西北西,8.4,--,67,晴一時曇,曇
2015-01-30,1017.2,1020.6,0.0,0.0,0.0,-0.4,2.2,-3.4,70,54,3.6,6.8,南南東,10.8,南南東,3.6,--,66,曇一時雪,曇時々晴
2015-01-31,1008.9,1012.2,--,--,--,-0.3,3.1,-3.0,65,45,3.2,7.5,北北西,12.4,北北西,3.7,--,65,薄曇一時晴,曇
2015-02-01,1011.7,1015.0,7.5,2.0,0.5,-1.7,-0.2,-3.0,73,51,7.7,12.9,北北西,21.6,北北西,1.2,10,74,雪一時晴、あられを伴う,雪一時曇
2015-02-02,1016.0,1019.4,6.5,1.0,0.5,-2.1,-1.2,-3.3,74,52,8.7,12.7,北北西,23.2,北北西,0.9,2,76,雪一時曇,雪後曇
2015-02-03,1020.5,1023.9,0.0,0.5,0.0,-4.4,-2.3,-6.5,59,48,5.0,10.2,北北西,16.5,北北西,1.0,--,76,曇時々雪,雪一時曇
2015-02-04,1018.9,1022.3,0.0,0.0,0.0,-5.9,-2.1,-9.7,57,49,2.3,6.3,北北西,11.1,北西,6.4,--,73,曇時々晴一時雪,曇
2015-02-05,1014.9,1018.3,--,--,--,-5.2,-2.1,-7.4,63,53,1.7,3.6,東,5.3,東南東,8.0,--,71,晴時々曇,薄曇
2015-02-06,1013.5,1016.9,0.0,0.0,0.0,-4.1,0.6,-10.1,63,51,2.7,7.5,北北西,12.1,北北西,6.8,--,70,曇時々晴,曇一時雪
2015-02-07,1015.7,1019.1,0.0,0.0,0.0,0.2,3.6,-4.2,67,51,2.7,10.1,南南東,15.0,南南東,5.3,--,68,曇時々晴,曇後一時みぞれ
2015-02-08,1002.3,1005.6,6.5,2.5,0.5,2.4,3.7,1.6,83,68,8.2,15.1,南南東,23.2,南,0.7,--,67,みぞれ一時曇、大風を伴う,雨後雪時々晴
2015-02-09,996.7,1000.0,1.0,0.5,0.5,-4.9,3.7,-8.2,48,28,4.5,11.0,北西,20.6,南西,4.9,3,66,晴一時曇,曇時々晴後一時雪
2015-02-10,998.3,1001.7,1.0,0.5,0.5,-6.7,-4.7,-7.8,60,32,2.8,5.0,西南西,8.8,西,3.4,1,64,曇時々雪一時晴,曇時々雪一時晴
2015-02-11,1005.0,1008.4,0.0,0.0,0.0,-2.7,0.7,-7.7,68,51,2.9,7.3,南南東,11.0,南,2.3,--,64,曇時々晴一時雪,晴一時雪
2015-02-12,1002.3,1005.6,0.5,0.5,0.5,-1.5,2.6,-5.3,76,41,2.0,5.6,南南西,8.3,西,5.0,1,64,晴後雪,曇時々晴一時雪
2015-02-13,994.7,998.0,8.0,1.5,1.0,-2.7,-0.4,-6.0,87,76,2.7,8.1,北北西,13.7,北北西,0.0,8,72,雪,雪時々曇
2015-02-14,1000.2,1003.5,3.5,0.5,0.5,-0.9,1.6,-2.0,70,48,6.5,11.3,北西,19.1,北西,1.6,4,74,雪一時曇,曇時々雪
2015-02-15,1003.9,1007.2,5.5,1.0,0.5,0.6,2.0,-1.9,69,52,10.7,15.2,北北西,28.9,北北西,0.0,--,73,雪,雪一時曇、大風を伴う
2015-02-16,1009.8,1013.1,0.0,0.0,0.0,1.8,2.3,1.2,76,57,7.3,12.8,北北西,25.8,北北西,0.0,--,72,雪時々みぞれ後一時曇,曇後一時晴
2015-02-17,1012.4,1015.7,--,--,--,1.9,4.8,-1.6,69,56,2.4,6.5,南,9.8,南,9.3,--,69,晴,晴後曇
2015-02-18,1011.7,1015.0,0.0,0.0,0.0,1.7,2.7,-1.0,62,51,3.5,6.3,南南西,9.9,南南東,0.0,--,67,曇,曇時々晴
2015-02-19,1013.2,1016.5,0.0,0.0,0.0,0.8,3.9,-2.8,67,49,2.4,5.6,北,8.1,北西,2.6,--,66,曇,曇後晴
2015-02-20,1020.6,1023.9,--,--,--,0.3,3.1,-3.0,55,42,2.8,6.5,北北西,10.9,北北西,8.9,--,64,晴,晴後曇
2015-02-21,1024.1,1027.5,--,--,--,-0.1,3.3,-3.8,58,45,2.2,5.6,南東,8.7,南東,7.5,--,63,晴一時曇,晴後曇
2015-02-22,1015.9,1019.2,1.0,1.0,0.5,1.8,3.2,-0.8,77,66,7.5,13.2,南南東,22.1,南南東,0.8,--,62,曇一時晴,雨一時曇
2015-02-23,1002.2,1005.5,2.0,1.5,0.5,4.3,7.6,0.6,61,32,4.2,11.5,西南西,18.9,西南西,6.6,2,58,晴後時々曇,雪時々曇
2015-02-24,1005.5,1008.8,1.0,0.5,0.5,0.7,2.8,-1.1,70,49,2.8,7.2,北北西,12.8,北北西,0.0,1,58,雪後一時曇,曇後時々晴一時雪
2015-02-25,1014.4,1017.7,0.5,0.5,0.5,-0.3,1.3,-2.3,74,54,1.5,4.3,西南西,6.8,西南西,2.1,2,58,曇後雪,曇一時雪後時々晴
2015-02-26,1014.3,1017.7,1.5,1.0,0.5,0.6,3.9,-3.7,68,39,3.7,9.0,南南東,15.1,南東,7.1,--,57,晴後曇,みぞれ一時曇
2015-02-27,996.0,999.2,10.5,3.0,1.0,2.3,5.4,0.7,79,56,5.7,11.5,北北西,18.9,北北西,2.0,2,54,曇時々みぞれ一時雨,曇後時々雪
2015-02-28,1018.1,1021.4,3.0,0.5,0.5,0.3,2.5,-2.5,73,48,5.4,12.1,北北西,20.7,北北西,1.0,3,55,雪時々曇、あられを伴う,晴後一時薄曇
